Id	Name	CodeSage	Siren	RCSCity	AddressId	SocialCapital	AgencyId	RepresentingCivilityId	RepresentingName	RepresentingRole	Tag	IsDeleted	CreatedBy	CreatedDate	UpdatedBy	UpdatedDate
42	SCI LE BLANC MESNIL PVC	IDF091	882160054	Nanterre D 882 160 054	2898	1600	21	NULL	NULL	NULL		true	connectedUser	2023-08-28 13:50:41.4913399	connectedUser	2023-08-31 10:12:52.9101829
43	SCI CLICHY MARTRE	IDF092	844323899	Nanterre D 844 323 899	2899	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-28 13:53:35.5999709		2023-08-31 10:15:09.1294009
44	SCI LIVRY GARGAN EUROPE	IDF093	878255553	Nanterre D 878 255 553	2900	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-28 13:55:04.5760162		2023-08-31 10:24:38.4408736
45	SCI HOUILLES GALLIENI	IDF095	877912212	Nanterre D 877 912 212	2901	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-28 13:56:28.5666985		2023-08-31 10:26:04.9336015
46	SCI BOULOGNE MEUDON	IDF098	878235993	Nanterre D 878 235 993	2902	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-28 13:58:04.6438094		2023-08-31 10:27:40.9563802
47	SCI PONTOISE ZAC BOSSUT	IDF106	881259642	Nanterre D 881 259 642	2903	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-28 13:59:27.7712887		2023-08-31 10:29:27.5384838
48	SCI SARCELLES GENERAL DE GAULLE	IDF107	840635841	Nanterre D 840 635 841	2904	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-28 14:02:14.4600163		2023-08-31 10:30:54.4995662
49	SCI SAVIGNY FONTAINES	IDF108	877979427	Nanterre D 877 979 427	2906	1600	21	NULL	NULL	NULL		true	connectedUser	2023-08-28 15:19:25.8213059	connectedUser	2023-08-28 15:21:26.1897839
50	SCI VITRY SUR SEINE ACCESSION	IDF109	838848950	Nanterre D 838 848 950	2907	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-28 15:23:34.2493076		2023-08-31 10:36:19.0983609
51	SCI STE GENEVIEVE ROUTE DE CORBEIL	IDF111	882884893	Nanterre D 882 884 893	2908	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-28 15:37:39.5033242		2023-08-31 10:37:40.4841701
52	SCI SARCELLES BROSSOLETTE	IDF115	883530842	Nanterre D 883 530 842	2909	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-28 15:40:43.0613032		2023-08-31 10:38:50.2276548
53	SCI CLICHY PARADINAS	IDF120	877779686	Nanterre D 877 779 686	2910	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-28 15:45:20.1137948		2023-08-31 10:40:00.8982091
54	SCI MONTFORT L'AMAURY QUESNAY	IDF122	883169195	Nanterre D 883 169 195	2911	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-28 15:50:24.2047715		2023-08-31 10:41:22.2713344
55	SCI GAGNY GARE	IDF123	884246257	Nanterre D 884 246 257	2912	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-28 15:55:33.0231917		2023-08-31 10:42:26.8655051
56	SCI VILLEPINTE PEPINIERE	IDF124	880369327	Nanterre D 880 369 327	2913	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-28 15:57:08.0701698		2023-08-31 10:43:40.2865264
57	SCI CLICHY SOUS BOIS DHUYS	IDF134	908273824	Nanterre D 908 273 824	2914	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-28 16:00:45.2039747		2023-08-31 11:45:10.6573479
58	SCI VALENTON GABRIEL PERI	IDF135	899473250	Nanterre D 899 473 250	2918	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-29 07:48:23.3536755		2023-08-31 11:43:38.1833671
59	SCI LES MUREAUX BELLONTE P4	IDF140	891273633	Nanterre D 891 273 633	2919	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-29 07:50:40.4459281		2023-08-31 11:46:34.5720017
60	SCI MARSEILLE NEUF	MAR003	878217579	Marseille D 878 217 579	2920	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-29 07:52:39.2067647		2023-08-31 11:48:01.5013811
61	SCI ISTRES ARISTIDE BRIAND	MAR005	883254799	Marseille D 883 254 799	2921	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-29 07:54:11.9799507		2023-08-31 11:49:21.1294711
